CODIGO	CD_BANCO	VALOR	DIAS_PRIMEIRA_PARCELA	TIPO_CLIENTE	CD_SEXO	QTDE_DIVIDAS_ANTERIORES	CD_CARTEIRA_CLIENTE	IDADE	GRUPO_IDADE_CONTA	ALVO_1_0
9243	B341	358.57	11	NEUTRO	M	0	G	55	MAIOR OU IGUAL A 15	0
9244	B341	354	34	NEUTRO	M	0	G	55	MAIOR OU IGUAL A 15	0
9245	B341	354	47	NEUTRO	M	0	G	55	MAIOR OU IGUAL A 15	0
9246	B341	354	41	NEUTRO	M	0	G	55	MAIOR OU IGUAL A 15	0
9247	B33	472.19	37	NOVO	M	16	G	40	ENTRE 1 E 2 ANOS	0
9248	B33	472	38	NOVO	M	16	G	40	ENTRE 1 E 2 ANOS	0
9250	B356	147.03	41	NOVO	F	7	F	NULL	ENTRE 1 E 2 ANOS	0
9252	B356	292.96	21	VIP	M	0	F	49	ENTRE 1 E 2 ANOS	0
9253	B356	315.85	35	VIP	M	0	F	49	ENTRE 1 E 2 ANOS	0
9254	B341	401.79	34	NOVO	F	2	F	27	ENTRE 1 E 2 ANOS	0
9256	B341	350.84	21	NEUTRO	M	4	F	54	ENTRE 1 E 2 ANOS	0
9260	B399	323.71	21	VIP	M	0	F	31	ENTRE 4 E 9 ANOS	1
9262	B356	196.73	31	VIP	F	16	F	48	ENTRE 1 E 2 ANOS	0
9263	B356	511.08	26	VIP	F	16	F	48	ENTRE 1 E 2 ANOS	0
9264	B341	578.97	45	EXPERIENTE	M	11	F	44	ENTRE 4 E 9 ANOS	1
9265	B341	133.45	24	EXPERIENTE	M	16	F	56	ENTRE 2 E 4 ANOS	0
9266	B341	854.76	22	NOVO	F	8	F	28	ENTRE 4 E 9 ANOS	0
9267	B237	341.81	33	NEUTRO	F	2	F	44	ENTRE 1 E 2 ANOS	0
9270	B341	580.94	26	NOVO	M	11	F	NULL	ENTRE 1 E 2 ANOS	0
9271	B1	562.53	32	VIP	M	16	F	38	ENTRE 2 E 4 ANOS	0
9272	B104	663.38	18	VIP	M	6	F	33	ENTRE 1 E 2 ANOS	0
9273	B341	243.84	28	NEUTRO	F	10	F	59	ENTRE 1 E 2 ANOS	0
9274	B104	242.05	31	NOVO	F	16	F	26	ENTRE 1 E 2 ANOS	0
9275	B341	448.2	33	NEUTRO	F	13	F	38	MAIOR OU IGUAL A 15	0
9276	B237	328.57	18	NOVO	F	1	F	40	MAIOR OU IGUAL A 15	1
9277	B33	269.06	28	EXPERIENTE	F	7	F	37	ENTRE 4 E 9 ANOS	0
9278	B33	206.99	27	EXPERIENTE	F	7	F	37	ENTRE 4 E 9 ANOS	0
9279	B33	320.71	14	EXPERIENTE	F	3	F	34	ENTRE 4 E 9 ANOS	0
9280	B237	297.66	28	VIP	F	16	F	27	ENTRE 1 E 2 ANOS	0
9281	B237	344.28	21	NOVO	F	5	F	26	ENTRE 2 E 4 ANOS	0
9283	B33	291.53	40	NOVO	M	0	F	21	ENTRE 2 E 4 ANOS	0
9283	B33	291.53	40	NOVO	M	0	F	21	ENTRE 2 E 4 ANOS	0
9284	B237	342.48	21	NEUTRO	M	1	F	23	ENTRE 1 E 2 ANOS	1
9284	B237	342.48	21	NEUTRO	M	1	F	23	ENTRE 1 E 2 ANOS	1
9284	B237	342.48	21	NEUTRO	M	1	F	23	ENTRE 1 E 2 ANOS	1
9285	B33	481.8	30	NOVO	M	14	F	19	ENTRE 1 E 2 ANOS	0
9286	B33	464.9	33	NEUTRO	M	14	F	19	ENTRE 1 E 2 ANOS	0
9287	B237	297.6	33	NOVO	M	6	F	48	MAIOR OU IGUAL A 15	0
9288	B1	300.81	20	NOVO	F	16	F	40	ENTRE 4 E 9 ANOS	0
9289	B33	78.26	48	VIP	M	8	F	56	MAIOR OU IGUAL A 15	1
9290	B33	310.75	31	VIP	M	8	F	56	MAIOR OU IGUAL A 15	1
9291	B237	105.12	19	VIP	F	6	F	52	ENTRE 9 E 14 ANOS	0
9292	B237	525	30	NOVO	F	10	G	52	MAIOR OU IGUAL A 15	0
9293	B33	39	28	VIP	F	1	G	53	ENTRE 4 E 9 ANOS	1
9294	B341	128.96	55	NEUTRO	M	5	G	52	MAIOR OU IGUAL A 15	0
9299	B33	42	30	VIP	F	14	G	35	ENTRE 4 E 9 ANOS	0
9300	B341	95.96	19	VIP	F	0	G	40	ENTRE 9 E 14 ANOS	0
9301	B341	94	51	VIP	F	0	G	40	ENTRE 9 E 14 ANOS	0
9302	B237	34	22	VIP	I	5	G	46	MAIOR OU IGUAL A 15	1
9303	B356	329	22	NOVO	M	8	G	44	ENTRE 4 E 9 ANOS	1
9304	B1	91.92	22	VIP	M	0	G	39	ENTRE 9 E 14 ANOS	0
9305	B341	125.92	21	VIP	F	11	G	39	ENTRE 4 E 9 ANOS	0
9306	B33	98	28	VIP	F	10	G	30	ENTRE 1 E 2 ANOS	0
9307	B341	343	15	VIP	F	0	G	37	MAIOR OU IGUAL A 15	1
9308	B33	131	17	NEUTRO	F	16	G	35	MAIOR OU IGUAL A 15	0
9309	B33	131	29	NEUTRO	F	16	G	35	MAIOR OU IGUAL A 15	0
9310	B33	283	11	NEUTRO	F	7	G	34	ENTRE 2 E 4 ANOS	0
9311	B33	97.89	23	EXPERIENTE	F	16	G	34	ENTRE 1 E 2 ANOS	0
9312	B33	96	21	EXPERIENTE	F	16	G	34	ENTRE 1 E 2 ANOS	0
9314	B33	193	33	NOVO	F	16	G	30	ENTRE 1 E 2 ANOS	0
9319	B33	255.87	33	NEUTRO	M	13	G	30	ENTRE 2 E 4 ANOS	0
9320	B33	254	18	NEUTRO	M	13	G	30	ENTRE 2 E 4 ANOS	0
9321	B409	84.25	28	NEUTRO	F	0	G	26	ENTRE 1 E 2 ANOS	0
9322	B341	153	12	NOVO	M	0	G	34	ATÉ 1 ANO	0
9323	B341	153	24	NOVO	M	0	G	34	ENTRE 1 E 2 ANOS	0
9324	B356	137.94	37	NOVO	F	16	G	24	ENTRE 1 E 2 ANOS	0
9325	B356	137	21	NOVO	F	16	G	24	ENTRE 1 E 2 ANOS	0
9326	B356	69.9	23	NOVO	F	16	G	24	ENTRE 1 E 2 ANOS	0
9327	B237	53	20	NEUTRO	M	5	G	NULL	ENTRE 1 E 2 ANOS	1
9328	B33	39.99	22	NOVO	M	5	G	28	ENTRE 1 E 2 ANOS	0
9329	B1	281.41	20	NOVO	M	16	G	NULL	ENTRE 1 E 2 ANOS	0
9330	B1	270	18	NOVO	M	16	G	NULL	ENTRE 1 E 2 ANOS	0
9332	B33	63.96	28	NOVO	F	16	G	NULL	ATÉ 1 ANO	0
9333	B356	61	16	NOVO	F	0	G	47	MAIOR OU IGUAL A 15	1
9334	B341	80	35	NOVO	M	16	G	NULL	ENTRE 1 E 2 ANOS	0
9335	B341	80	16	NOVO	M	16	G	NULL	ENTRE 1 E 2 ANOS	0
9336	B341	80	19	NOVO	M	16	G	NULL	ENTRE 1 E 2 ANOS	0
9337	B104	400	21	NOVO	F	9	G	20	ENTRE 1 E 2 ANOS	0
9338	B104	400	22	NOVO	F	9	G	20	ENTRE 1 E 2 ANOS	0
9339	B104	400	14	NOVO	F	9	G	20	ENTRE 1 E 2 ANOS	0
9340	B341	225.83	14	EXPERIENTE	F	0	G	38	ENTRE 1 E 2 ANOS	0
9341	B341	203.74	16	NOVO	M	0	G	47	ATÉ 1 ANO	0
9342	B341	203	18	NOVO	M	0	G	47	ATÉ 1 ANO	0
9343	B341	203	10	NOVO	M	0	G	47	ATÉ 1 ANO	0
9344	B237	748	56	NEUTRO	M	0	E	52	MAIOR OU IGUAL A 15	1
9351	B341	81	56	NEUTRO	M	0	E	31	ENTRE 1 E 2 ANOS	0
9353	B341	260	55	NOVO	 	8	E	28	ENTRE 2 E 4 ANOS	0
9354	B237	99	56	NEUTRO	M	0	E	59	ENTRE 1 E 2 ANOS	1
9355	B341	94.75	92	VIP	M	4	E	52	ENTRE 4 E 9 ANOS	0
9356	B237	58	27	NOVO	F	0	E	30	ENTRE 1 E 2 ANOS	1
9371	B33	69	21	EXPERIENTE	F	0	E	29	ENTRE 4 E 9 ANOS	1
9373	B33	100	47	NOVO	F	7	E	NULL	ENTRE 2 E 4 ANOS	1
9374	B237	150	73	NOVO	M	6	G	NULL	ENTRE 1 E 2 ANOS	0
9387	B341	90	47	EXPERIENTE	M	5	E	43	MAIOR OU IGUAL A 15	0
9388	B237	142	15	EXPERIENTE	F	0	E	38	ENTRE 9 E 14 ANOS	1
9393	B237	262.5	44	NOVO	M	16	E	39	ENTRE 9 E 14 ANOS	0
9394	B237	262.5	15	NOVO	M	16	E	39	ENTRE 9 E 14 ANOS	0
9395	B33	120	66	VIP	M	0	E	40	MAIOR OU IGUAL A 15	1
9397	B33	78	89	NOVO	F	16	E	35	ENTRE 1 E 2 ANOS	0
9398	B33	78	27	NOVO	F	16	E	35	ENTRE 1 E 2 ANOS	0
9403	B33	64	48	NOVO	F	9	E	NULL	ENTRE 1 E 2 ANOS	0
9404	B33	64	62	NOVO	F	9	E	NULL	ENTRE 1 E 2 ANOS	0
9405	B356	113.33	62	NOVO	M	3	E	32	ENTRE 1 E 2 ANOS	0
9406	B356	113.33	26	NOVO	M	3	E	32	ENTRE 1 E 2 ANOS	0
9407	B356	113.34	21	NOVO	M	3	E	32	ENTRE 1 E 2 ANOS	0
9410	B151	48	32	NOVO	F	0	E	55	ENTRE 4 E 9 ANOS	1
